qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img1,img1,img1,img2,"tensor(0.9762, device='cuda:0')","tensor(0.9780, device='cuda:0')"
3,4,img1,img2,img1,img2,"tensor(0.9987, device='cuda:0')","tensor(0.1693, device='cuda:0')"
5,6,img2,img2,img1,img2,"tensor(0.3787, device='cuda:0')","tensor(0.1907, device='cuda:0')"
7,8,img2,img2,img1,img2,"tensor(0.3621, device='cuda:0')","tensor(0.4091, device='cuda:0')"
9,10,img1,img2,img1,img2,"tensor(0.5863, device='cuda:0')","tensor(0.1500, device='cuda:0')"
11,12,img1,img1,img1,img2,"tensor(0.7135, device='cuda:0')","tensor(0.7478, device='cuda:0')"
13,14,img2,img2,img1,img2,"tensor(0.0192, device='cuda:0')","tensor(0.0165, device='cuda:0')"
15,16,img2,img2,img1,img2,"tensor(0.2472, device='cuda:0')","tensor(0.0118, device='cuda:0')"
17,18,img1,img1,img1,img2,"tensor(0.8162, device='cuda:0')","tensor(0.7702, device='cuda:0')"
19,20,img1,img1,img1,img2,"tensor(0.9990, device='cuda:0')","tensor(0.9486, device='cuda:0')"
21,22,img1,img1,img1,img2,"tensor(0.7977, device='cuda:0')","tensor(0.7599, device='cuda:0')"
23,24,img1,img1,img1,img2,"tensor(0.8345, device='cuda:0')","tensor(0.7304, device='cuda:0')"
25,26,img2,img2,img1,img2,"tensor(0.3536, device='cuda:0')","tensor(0.3799, device='cuda:0')"
27,28,img2,img2,img1,img2,"tensor(0.1506, device='cuda:0')","tensor(0.0980, device='cuda:0')"
29,30,img1,img1,img1,img2,"tensor(0.9367, device='cuda:0')","tensor(0.9362, device='cuda:0')"
31,32,img1,img1,img1,img2,"tensor(0.8501, device='cuda:0')","tensor(0.5575, device='cuda:0')"
33,34,img1,img1,img1,img2,"tensor(0.9940, device='cuda:0')","tensor(0.6748, device='cuda:0')"
35,36,img1,img1,img1,img2,"tensor(0.8228, device='cuda:0')","tensor(0.9175, device='cuda:0')"
37,38,img2,img2,img1,img2,"tensor(0.4634, device='cuda:0')","tensor(0.4778, device='cuda:0')"
39,40,img1,img2,img1,img2,"tensor(0.8434, device='cuda:0')","tensor(0.0725, device='cuda:0')"
41,42,img1,img1,img1,img2,"tensor(0.9769, device='cuda:0')","tensor(0.9325, device='cuda:0')"
43,44,img1,img1,img1,img2,"tensor(0.9974, device='cuda:0')","tensor(0.9940, device='cuda:0')"
45,46,img2,img2,img1,img2,"tensor(0.4752, device='cuda:0')","tensor(0.2737, device='cuda:0')"
47,48,img2,img2,img1,img2,"tensor(0.0699, device='cuda:0')","tensor(0.0041, device='cuda:0')"
49,50,img2,img1,img1,img2,"tensor(0.4311, device='cuda:0')","tensor(0.6504, device='cuda:0')"
